"o","h","l","c","v","a","date"
10.02,10.1,10.01,10.02,1511224,10.02,"2013-03-22"
10.01,10.05,10.01,10.04,103140,10.04,"2013-03-25"
10.03,10.0301,10.03,10.03,146200,10.03,"2013-03-26"
10.09,10.09,10.04,10.06,46445,10.06,"2013-03-27"
10.08,10.09,10.05,10.06,89675,10.06,"2013-03-28"
10.16,10.16,10.03,10.06,5557,10.06,"2013-04-01"
10.07,10.09,10.02,10.02,14489,10.02,"2013-04-02"
10.08,10.5,10.05,10.07,19490,10.07,"2013-04-03"
10.1,10.1,10.04,10.09,9113,10.09,"2013-04-04"
10.14,10.14,10.03,10.08,43056,10.08,"2013-04-05"
10.15,10.15,10.09,10.1,7650,10.1,"2013-04-08"
10.12,10.12,10.09,10.1,11126,10.1,"2013-04-09"
10.1,10.15,10.0501,10.13,11044,10.13,"2013-04-10"
10.13,10.13,10.08,10.13,12100,10.13,"2013-04-11"
10.13,10.13,10.07,10.13,7250,10.13,"2013-04-12"
10.14,10.14,10.0955,10.12,8900,10.12,"2013-04-15"
10.1,10.12,10.03,10.1,30575,10.1,"2013-04-16"
10.14,10.14,10.13,10.14,4000,10.14,"2013-04-17"
10.14,10.14,10.05,10.14,8100,10.14,"2013-04-18"
10.15,10.15,10.0501,10.14,10600,10.14,"2013-04-19"
10.15,10.15,10.14,10.15,4300,10.15,"2013-04-22"
10.12,10.14,10.06,10.14,42303,10.14,"2013-04-23"
10.1,10.14,10.06,10.14,21845,10.14,"2013-04-24"
10.1,10.14,10.1,10.14,11430,10.14,"2013-04-25"
10.14,10.14,10.1,10.1,7091,10.1,"2013-04-26"
10.15,10.19,10.11,10.14,44052,10.14,"2013-04-29"
10.15,10.17,10.12,10.14,128577,10.14,"2013-04-30"
10.18,10.19,10.13,10.18,43089,10.18,"2013-05-01"
10.09,10.16,10.09,10.09,1485,10.09,"2013-05-02"
10.19,10.2,10.09,10.12,2704,10.12,"2013-05-03"
10.16,10.17,10.1523,10.17,2178,10.17,"2013-05-06"
10.16,10.2,10.11,10.16,5892,10.16,"2013-05-07"
10.14,10.17,10.14,10.17,6678,10.17,"2013-05-08"
10.2,10.2,10.12,10.12,4021,10.12,"2013-05-09"
10.12,10.2,10.11,10.2,5400,10.2,"2013-05-10"
10.17,10.18,10.145,10.18,3518,10.18,"2013-05-13"
10.18,10.18,10.18,10.18,2005,10.18,"2013-05-14"
10.18,10.18,10.1232,10.18,3947,10.18,"2013-05-15"
10.2,10.2,10.19,10.2,2816,10.2,"2013-05-16"
10.2,10.21,10.05,10.2,9288,10.2,"2013-05-17"
10.17,10.2,10.13,10.13,4560,10.13,"2013-05-20"
10.2,10.2,10.1,10.19,18915,10.19,"2013-05-21"
10.18,10.21,10.179,10.21,23980,10.21,"2013-05-22"
10.11,10.11,10.11,10.11,332,10.11,"2013-05-23"
10.19,10.21,10.0711,10.18,14721,10.18,"2013-05-24"
10.18,10.18,10.12,10.12,5081,10.12,"2013-05-28"
10.18,10.18,10.1649,10.18,4394,10.18,"2013-05-29"
10.18,10.18,10.12,10.12,865,10.12,"2013-05-30"
10.18,10.18,10.17,10.18,6260,10.18,"2013-05-31"
10.13,10.2,10.1,10.16,29167,10.16,"2013-06-03"
10.16,10.18,10.16,10.16,4020,10.16,"2013-06-04"
10.19,10.2,10.1772,10.19,5235,10.19,"2013-06-05"
10.15,10.2,10.1469,10.16,1755,10.16,"2013-06-06"
10.14,10.19,10.14,10.19,2350,10.19,"2013-06-07"
10.19,10.24,10.19,10.24,20646,10.24,"2013-06-10"
10.2,10.2,10.15,10.19,3398,10.19,"2013-06-11"
10.19,10.2,10.15,10.2,3771,10.2,"2013-06-12"
10.15,10.2,10.15,10.15,1142,10.15,"2013-06-13"
10.2,10.2,10.15,10.2,11832,10.2,"2013-06-14"
